task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",direct coordinate and review sales and service accounting and recordkeeping as well as receiving and shipping,11-2022,Sales Managers,0.6272253846153846,3.48,91.3,11-2022.00,603710.0,8660.0,11,Management Occupations
Review operational records and reports to project sales and determine profitability.,review operational records and reports to project sales and determine profitability,11-2022,Sales Managers,0.5340815384615385,3.95,95.65,11-2022.00,603710.0,8660.0,11,Management Occupations
Determine price schedules and discount rates.,determine price schedules and discount rates,11-2022,Sales Managers,0.4409696153846153,3.61,100.0,11-2022.00,603710.0,8660.0,11,Management Occupations
"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",direct and coordinate activities involving sales of manufactured products services commodities real estate or other subjects of sale,11-2022,Sales Managers,3.4070615384615386,4.22,100.0,11-2022.00,603710.0,8660.0,11,Management Occupations
Monitor customer preferences to determine focus of sales efforts.,monitor customer preferences to determine focus of sales efforts,11-2022,Sales Managers,0.7907399999999999,3.57,95.65,11-2022.00,603710.0,8660.0,11,Management Occupations
Resolve customer complaints regarding sales and service.,resolve customer complaints regarding sales and service,11-2022,Sales Managers,0.6126284615384615,4.09,100.0,11-2022.00,603710.0,8660.0,11,Management Occupations
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business,11-2022,Sales Managers,0.4278996153846153,3.26,82.61,11-2022.00,603710.0,8660.0,11,Management Occupations
Conduct classes to teach procedures to staff.,conduct classes to teach procedures to staff,11-3012,Administrative Services Managers,0.0754880769230769,3.19,74.75,11-3012.00,254140.0,1810.0,11,Management Occupations
Hire and terminate clerical and administrative personnel.,hire and terminate clerical and administrative personnel,11-3012,Administrative Services Managers,0.31286,3.95,56.26,11-3012.00,254140.0,1810.0,11,Management Occupations
"Plan, administer, and control budgets for contracts, equipment, and supplies.",plan administer and control budgets for contracts equipment and supplies,11-3012,Administrative Services Managers,1.324195,4.06,66.15,11-3012.00,254140.0,1810.0,11,Management Occupations
"Acquire, distribute and store supplies.",acquire distribute and store supplies,11-3012,Administrative Services Managers,0.7152030769230768,3.38,71.93,11-3012.00,254140.0,1810.0,11,Management Occupations
Prepare and review operational reports and schedules to ensure accuracy and efficiency.,prepare and review operational reports and schedules to ensure accuracy and efficiency,11-3012,Administrative Services Managers,0.7297161538461538,3.71,77.98,11-3012.00,254140.0,1810.0,11,Management Occupations
Set goals and deadlines for the department.,set goals and deadlines for the department,11-3012,Administrative Services Managers,0.6698996153846154,3.7,92.79,11-3012.00,254140.0,1810.0,11,Management Occupations
"Direct or coordinate the supportive services department of a business, agency, or organization.",direct or coordinate the supportive services department of a business agency or organization,11-3012,Administrative Services Managers,2.066304230769231,3.92,63.8,11-3012.00,254140.0,1810.0,11,Management Occupations
"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",analyze internal processes and recommend and implement procedural or policy changes to improve operations such as supply changes or the disposal of records,11-3012,Administrative Services Managers,0.3787019230769231,3.33,96.32,11-3012.00,254140.0,1810.0,11,Management Occupations
"Participate in architectural and engineering planning and design, including space and installation management.",participate in architectural and engineering planning and design including space and installation management,11-3013,Facilities Managers,0.668711923076923,4.04,75.48,11-3013.00,141090.0,1600.0,11,Management Occupations
Set goals and deadlines for the department.,set goals and deadlines for the department,11-3013,Facilities Managers,0.9536923076923076,3.98,94.63,11-3013.00,141090.0,1600.0,11,Management Occupations
Prepare and review operational reports and schedules to ensure accuracy and efficiency.,prepare and review operational reports and schedules to ensure accuracy and efficiency,11-3013,Facilities Managers,0.8020876923076923,3.72,89.37,11-3013.00,141090.0,1600.0,11,Management Occupations
"Plan, administer, and control budgets for contracts, equipment, and supplies.",plan administer and control budgets for contracts equipment and supplies,11-3013,Facilities Managers,0.7404626923076922,4.09,90.25,11-3013.00,141090.0,1600.0,11,Management Occupations
"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.",oversee the maintenance and repair of machinery equipment and electrical and mechanical systems,11-3013,Facilities Managers,2.5956853846153845,4.5,86.32,11-3013.00,141090.0,1600.0,11,Management Occupations
"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",monitor the facility to ensure that it remains safe secure and wellmaintained,11-3013,Facilities Managers,2.431466923076923,4.55,100.0,11-3013.00,141090.0,1600.0,11,Management Occupations
"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.",oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental health and security standards and comply with government regulations,11-3013,Facilities Managers,0.5902892307692308,4.21,81.42,11-3013.00,141090.0,1600.0,11,Management Occupations
